cc_id,kr_material_id,ec_facet_id,ec_material_id,kr_matches_ec_material,ec_primary_texture_id,ec_layer_texture_ids,ec_layer_repetitions,notes
432,0,432,2006,false,2000061,2000060|2000061|1000003,9.000000|6.000000|24.000000,different_material_route
433,,433,1,,2000011,2000010|2000011|1000003,10.000000|4.000000|32.000000,
441,54,441,,,,,,ec_facet_id_has_no_terrain_material
442,56,442,,,,,,ec_facet_id_has_no_terrain_material
443,55,443,,,,,,ec_facet_id_has_no_terrain_material
444,55,444,,,,,,ec_facet_id_has_no_terrain_material
445,57,445,,,,,,ec_facet_id_has_no_terrain_material
446,57,446,,,,,,ec_facet_id_has_no_terrain_material
447,55,447,,,,,,ec_facet_id_has_no_terrain_material
448,56,448,,,,,,ec_facet_id_has_no_terrain_material
450,54,450,,,,,,ec_facet_id_has_no_terrain_material
451,56,451,,,,,,ec_facet_id_has_no_terrain_material
452,56,452,,,,,,ec_facet_id_has_no_terrain_material
453,54,453,,,,,,ec_facet_id_has_no_terrain_material
454,54,454,,,,,,ec_facet_id_has_no_terrain_material
456,56,456,,,,,,ec_facet_id_has_no_terrain_material
457,54,457,,,,,,ec_facet_id_has_no_terrain_material
458,54,458,,,,,,ec_facet_id_has_no_terrain_material
460,57,460,,,,,,ec_facet_id_has_no_terrain_material
461,55,461,,,,,,ec_facet_id_has_no_terrain_material
462,55,462,,,,,,ec_facet_id_has_no_terrain_material
463,55,463,,,,,,ec_facet_id_has_no_terrain_material
465,54,465,,,,,,ec_facet_id_has_no_terrain_material
467,154,467,,,,,,ec_facet_id_has_no_terrain_material
468,154,468,,,,,,ec_facet_id_has_no_terrain_material
469,154,469,,,,,,ec_facet_id_has_no_terrain_material
470,154,470,,,,,,ec_facet_id_has_no_terrain_material
471,154,471,,,,,,ec_facet_id_has_no_terrain_material
472,154,472,,,,,,ec_facet_id_has_no_terrain_material
473,154,473,,,,,,ec_facet_id_has_no_terrain_material
474,154,474,,,,,,ec_facet_id_has_no_terrain_material
475,154,475,154,true,2001550,2001550|2001550|1000003,6.000000|6.000000|16.000000,
476,2,476,,,,,,ec_facet_id_has_no_terrain_material
477,2,477,,,,,,ec_facet_id_has_no_terrain_material
478,2,478,,,,,,ec_facet_id_has_no_terrain_material
479,2,479,,,,,,ec_facet_id_has_no_terrain_material
480,2,480,,,,,,ec_facet_id_has_no_terrain_material
481,2,481,,,,,,ec_facet_id_has_no_terrain_material
482,2,482,,,,,,ec_facet_id_has_no_terrain_material
483,2,483,,,,,,ec_facet_id_has_no_terrain_material
484,2,484,,,,,,ec_facet_id_has_no_terrain_material
485,2,485,,,,,,ec_facet_id_has_no_terrain_material
486,2,486,,,,,,ec_facet_id_has_no_terrain_material
487,2,487,,,,,,ec_facet_id_has_no_terrain_material
492,2,492,,,,,,ec_facet_id_has_no_terrain_material
493,2,493,,,,,,ec_facet_id_has_no_terrain_material
494,2,494,,,,,,ec_facet_id_has_no_terrain_material
495,2,495,,,,,,ec_facet_id_has_no_terrain_material
496,3,496,,,,,,ec_facet_id_has_no_terrain_material
497,3,497,,,,,,ec_facet_id_has_no_terrain_material
500,10,500,10,true,2000100,1000012|2000100|2000100|2000101,12.000000|4.000000|6.000000|8.000000,
501,10,501,,,,,,ec_facet_id_has_no_terrain_material
502,10,502,,,,,,ec_facet_id_has_no_terrain_material
503,10,503,,,,,,ec_facet_id_has_no_terrain_material
506,53,506,53,true,2000532,2000532|2000530|2000530|2000531,24.000000|0.500000|0.500000|24.000000,
507,53,507,,,,,,ec_facet_id_has_no_terrain_material
508,53,508,,,,,,ec_facet_id_has_no_terrain_material
509,53,509,,,,,,ec_facet_id_has_no_terrain_material
510,53,510,,,,,,ec_facet_id_has_no_terrain_material
511,53,511,,,,,,ec_facet_id_has_no_terrain_material
513,24,513,24,true,2000240,2000240|2000241|1000003,5.000000|5.000000|16.000000,
514,24,514,,,,,,ec_facet_id_has_no_terrain_material
515,24,515,,,,,,ec_facet_id_has_no_terrain_material
516,24,516,,,,,,ec_facet_id_has_no_terrain_material
543,146,543,146,true,2001460,2001460|2001461|1000003,5.000000|5.000000|16.000000,
544,146,544,,,,,,ec_facet_id_has_no_terrain_material
545,146,545,,,,,,ec_facet_id_has_no_terrain_material
546,146,546,,,,,,ec_facet_id_has_no_terrain_material
547,146,547,,,,,,ec_facet_id_has_no_terrain_material
548,146,548,,,,,,ec_facet_id_has_no_terrain_material
549,146,549,,,,,,ec_facet_id_has_no_terrain_material
550,146,550,,,,,,ec_facet_id_has_no_terrain_material
551,146,551,,,,,,ec_facet_id_has_no_terrain_material
552,146,552,,,,,,ec_facet_id_has_no_terrain_material
553,146,553,,,,,,ec_facet_id_has_no_terrain_material
554,146,554,,,,,,ec_facet_id_has_no_terrain_material
555,146,555,,,,,,ec_facet_id_has_no_terrain_material
556,146,556,2006,false,2000061,2000060|2000061|1000003,9.000000|6.000000|24.000000,different_material_route
557,146,557,,,,,,ec_facet_id_has_no_terrain_material
558,146,558,,,,,,ec_facet_id_has_no_terrain_material
559,146,559,,,,,,ec_facet_id_has_no_terrain_material
560,146,560,,,,,,ec_facet_id_has_no_terrain_material
561,1,561,193,false,2000103,2000103|2000103|1000003,6.000000|4.000000|32.000000,different_material_route
562,1,562,,,,,,ec_facet_id_has_no_terrain_material
563,1,563,,,,,,ec_facet_id_has_no_terrain_material
564,1,564,,,,,,ec_facet_id_has_no_terrain_material
565,6,565,,,,,,ec_facet_id_has_no_terrain_material
566,6,566,,,,,,ec_facet_id_has_no_terrain_material
567,6,567,,,,,,ec_facet_id_has_no_terrain_material
568,6,568,,,,,,ec_facet_id_has_no_terrain_material
569,1,569,,,,,,ec_facet_id_has_no_terrain_material
570,1,570,,,,,,ec_facet_id_has_no_terrain_material
571,1,571,,,,,,ec_facet_id_has_no_terrain_material
572,1,572,,,,,,ec_facet_id_has_no_terrain_material
573,1,573,,,,,,ec_facet_id_has_no_terrain_material
574,1,574,,,,,,ec_facet_id_has_no_terrain_material
575,1,575,,,,,,ec_facet_id_has_no_terrain_material
576,1,576,,,,,,ec_facet_id_has_no_terrain_material
577,1,577,,,,,,ec_facet_id_has_no_terrain_material
578,1,578,,,,,,ec_facet_id_has_no_terrain_material
579,1,579,,,,,,ec_facet_id_has_no_terrain_material
580,170,580,170,true,2001700,2001700|2001700|1000003,1.000000|1.000000|16.000000,
581,13,581,13,true,2000131,2000130|2000131|1000003,12.000000|6.000000|16.000000,
582,13,582,,,,,,ec_facet_id_has_no_terrain_material
583,13,583,,,,,,ec_facet_id_has_no_terrain_material
584,13,584,,,,,,ec_facet_id_has_no_terrain_material
585,13,585,,,,,,ec_facet_id_has_no_terrain_material
586,171,586,171,true,2000131,2000130|2000131|1000003,12.000000|6.000000|16.000000,
587,172,587,,,,,,ec_facet_id_has_no_terrain_material
588,173,588,,,,,,ec_facet_id_has_no_terrain_material
589,174,589,,,,,,ec_facet_id_has_no_terrain_material
590,175,590,,,,,,ec_facet_id_has_no_terrain_material
591,176,591,,,,,,ec_facet_id_has_no_terrain_material
592,177,592,,,,,,ec_facet_id_has_no_terrain_material
593,178,593,,,,,,ec_facet_id_has_no_terrain_material
594,179,594,,,,,,ec_facet_id_has_no_terrain_material
595,180,595,,,,,,ec_facet_id_has_no_terrain_material
596,181,596,,,,,,ec_facet_id_has_no_terrain_material
597,182,597,,,,,,ec_facet_id_has_no_terrain_material
598,183,598,,,,,,ec_facet_id_has_no_terrain_material
599,188,599,,,,,,ec_facet_id_has_no_terrain_material
600,13,600,,,,,,ec_facet_id_has_no_terrain_material
601,189,601,,,,,,ec_facet_id_has_no_terrain_material
602,16,602,16,true,2000160,2000160|2000161|1000003,5.000000|5.000000|16.000000,
603,16,603,,,,,,ec_facet_id_has_no_terrain_material
604,15,604,15,true,2000151,2000151|2000151|1000003,5.000000|5.000000|16.000000,
605,16,605,,,,,,ec_facet_id_has_no_terrain_material
606,16,606,,,,,,ec_facet_id_has_no_terrain_material
607,16,607,,,,,,ec_facet_id_has_no_terrain_material
608,16,608,,,,,,ec_facet_id_has_no_terrain_material
609,16,609,,,,,,ec_facet_id_has_no_terrain_material
610,184,610,,,,,,ec_facet_id_has_no_terrain_material
611,185,611,,,,,,ec_facet_id_has_no_terrain_material
612,186,612,,,,,,ec_facet_id_has_no_terrain_material
613,187,613,,,,,,ec_facet_id_has_no_terrain_material
614,14,614,14,true,2000140,2000140|2000141|1000003,5.000000|5.000000|16.000000,
615,14,615,,,,,,ec_facet_id_has_no_terrain_material
616,15,616,,,,,,ec_facet_id_has_no_terrain_material
617,14,617,,,,,,ec_facet_id_has_no_terrain_material
618,14,618,,,,,,ec_facet_id_has_no_terrain_material
619,16,619,,,,,,ec_facet_id_has_no_terrain_material
620,16,620,,,,,,ec_facet_id_has_no_terrain_material
621,16,621,,,,,,ec_facet_id_has_no_terrain_material
622,3,622,,,,,,ec_facet_id_has_no_terrain_material
623,3,623,,,,,,ec_facet_id_has_no_terrain_material
624,3,624,,,,,,ec_facet_id_has_no_terrain_material
625,3,625,,,,,,ec_facet_id_has_no_terrain_material
626,2,626,,,,,,ec_facet_id_has_no_terrain_material
627,2,627,,,,,,ec_facet_id_has_no_terrain_material
628,2,628,,,,,,ec_facet_id_has_no_terrain_material
629,2,629,,,,,,ec_facet_id_has_no_terrain_material
630,3,630,,,,,,ec_facet_id_has_no_terrain_material
631,3,631,,,,,,ec_facet_id_has_no_terrain_material
632,3,632,,,,,,ec_facet_id_has_no_terrain_material
633,3,633,,,,,,ec_facet_id_has_no_terrain_material
634,3,634,,,,,,ec_facet_id_has_no_terrain_material
635,3,635,,,,,,ec_facet_id_has_no_terrain_material
636,3,636,,,,,,ec_facet_id_has_no_terrain_material
637,3,637,,,,,,ec_facet_id_has_no_terrain_material
638,2,638,,,,,,ec_facet_id_has_no_terrain_material
639,2,639,,,,,,ec_facet_id_has_no_terrain_material
640,2,640,,,,,,ec_facet_id_has_no_terrain_material
641,2,641,,,,,,ec_facet_id_has_no_terrain_material
642,7,642,,,,,,ec_facet_id_has_no_terrain_material
643,,643,,,,,,ec_facet_id_has_no_terrain_material
644,7,644,,,,,,ec_facet_id_has_no_terrain_material
645,7,645,,,,,,ec_facet_id_has_no_terrain_material
646,3,646,,,,,,ec_facet_id_has_no_terrain_material
647,,647,,,,,,ec_facet_id_has_no_terrain_material
648,,648,,,,,,ec_facet_id_has_no_terrain_material
649,,649,,,,,,ec_facet_id_has_no_terrain_material
650,7,650,,,,,,ec_facet_id_has_no_terrain_material
651,7,651,,,,,,ec_facet_id_has_no_terrain_material
652,,652,,,,,,ec_facet_id_has_no_terrain_material
653,7,653,,,,,,ec_facet_id_has_no_terrain_material
662,19,662,19,true,2000190,2000190|2000191|1000003,5.000000|5.000000|16.000000,
663,68,663,68,true,2000680,2000680|2000681|1000003,5.000000|5.000000|16.000000,
664,19,664,,,,,,ec_facet_id_has_no_terrain_material
665,19,665,,,,,,ec_facet_id_has_no_terrain_material
666,19,666,,,,,,ec_facet_id_has_no_terrain_material
667,19,667,,,,,,ec_facet_id_has_no_terrain_material
668,19,668,,,,,,ec_facet_id_has_no_terrain_material
669,19,669,,,,,,ec_facet_id_has_no_terrain_material
670,19,670,,,,,,ec_facet_id_has_no_terrain_material
671,19,671,,,,,,ec_facet_id_has_no_terrain_material
672,19,672,,,,,,ec_facet_id_has_no_terrain_material
673,19,673,,,,,,ec_facet_id_has_no_terrain_material
674,19,674,,,,,,ec_facet_id_has_no_terrain_material
675,19,675,,,,,,ec_facet_id_has_no_terrain_material
676,19,676,,,,,,ec_facet_id_has_no_terrain_material
677,19,677,,,,,,ec_facet_id_has_no_terrain_material
678,19,678,,,,,,ec_facet_id_has_no_terrain_material
679,19,679,,,,,,ec_facet_id_has_no_terrain_material
680,68,680,,,,,,ec_facet_id_has_no_terrain_material
681,68,681,,,,,,ec_facet_id_has_no_terrain_material
682,68,682,,,,,,ec_facet_id_has_no_terrain_material
683,68,683,,,,,,ec_facet_id_has_no_terrain_material
684,68,684,,,,,,ec_facet_id_has_no_terrain_material
685,68,685,,,,,,ec_facet_id_has_no_terrain_material
686,68,686,,,,,,ec_facet_id_has_no_terrain_material
687,68,687,,,,,,ec_facet_id_has_no_terrain_material
688,68,688,,,,,,ec_facet_id_has_no_terrain_material
689,68,689,,,,,,ec_facet_id_has_no_terrain_material
690,68,690,,,,,,ec_facet_id_has_no_terrain_material
691,68,691,,,,,,ec_facet_id_has_no_terrain_material
692,68,692,,,,,,ec_facet_id_has_no_terrain_material
693,68,693,,,,,,ec_facet_id_has_no_terrain_material
694,68,694,,,,,,ec_facet_id_has_no_terrain_material
695,68,695,,,,,,ec_facet_id_has_no_terrain_material
696,68,696,,,,,,ec_facet_id_has_no_terrain_material
697,68,697,,,,,,ec_facet_id_has_no_terrain_material
698,68,698,,,,,,ec_facet_id_has_no_terrain_material
699,19,699,,,,,,ec_facet_id_has_no_terrain_material
700,14,700,14,true,2000140,2000140|2000141|1000003,5.000000|5.000000|16.000000,
701,14,701,,,,,,ec_facet_id_has_no_terrain_material
702,15,702,15,true,2000151,2000151|2000151|1000003,5.000000|5.000000|16.000000,
704,16,704,16,true,2000160,2000160|2000161|1000003,5.000000|5.000000|16.000000,
705,16,705,,,,,,ec_facet_id_has_no_terrain_material
708,14,708,,,,,,ec_facet_id_has_no_terrain_material
709,14,709,,,,,,ec_facet_id_has_no_terrain_material
711,14,711,,,,,,ec_facet_id_has_no_terrain_material
712,16,712,,,,,,ec_facet_id_has_no_terrain_material
714,16,714,,,,,,ec_facet_id_has_no_terrain_material
715,16,715,,,,,,ec_facet_id_has_no_terrain_material
720,56,720,,,,,,ec_facet_id_has_no_terrain_material
722,54,722,,,,,,ec_facet_id_has_no_terrain_material
724,56,724,,,,,,ec_facet_id_has_no_terrain_material
726,54,726,,,,,,ec_facet_id_has_no_terrain_material
741,58,741,,,,,,ec_facet_id_has_no_terrain_material
742,58,742,,,,,,ec_facet_id_has_no_terrain_material
743,58,743,,,,,,ec_facet_id_has_no_terrain_material
744,58,744,,,,,,ec_facet_id_has_no_terrain_material
745,60,745,,,,,,ec_facet_id_has_no_terrain_material
746,60,746,,,,,,ec_facet_id_has_no_terrain_material
747,60,747,,,,,,ec_facet_id_has_no_terrain_material
748,60,748,,,,,,ec_facet_id_has_no_terrain_material
749,59,749,,,,,,ec_facet_id_has_no_terrain_material
750,58,750,,,,,,ec_facet_id_has_no_terrain_material
751,59,751,,,,,,ec_facet_id_has_no_terrain_material
752,59,752,,,,,,ec_facet_id_has_no_terrain_material
753,60,753,,,,,,ec_facet_id_has_no_terrain_material
754,60,754,,,,,,ec_facet_id_has_no_terrain_material
755,58,755,,,,,,ec_facet_id_has_no_terrain_material
756,60,756,,,,,,ec_facet_id_has_no_terrain_material
757,60,757,,,,,,ec_facet_id_has_no_terrain_material
758,58,758,,,,,,ec_facet_id_has_no_terrain_material
759,58,759,,,,,,ec_facet_id_has_no_terrain_material
760,58,760,,,,,,ec_facet_id_has_no_terrain_material
761,58,761,,,,,,ec_facet_id_has_no_terrain_material
762,60,762,,,,,,ec_facet_id_has_no_terrain_material
763,60,763,,,,,,ec_facet_id_has_no_terrain_material
764,58,764,,,,,,ec_facet_id_has_no_terrain_material
765,60,765,,,,,,ec_facet_id_has_no_terrain_material
766,60,766,,,,,,ec_facet_id_has_no_terrain_material
767,58,767,,,,,,ec_facet_id_has_no_terrain_material
771,58,771,,,,,,ec_facet_id_has_no_terrain_material
772,60,772,,,,,,ec_facet_id_has_no_terrain_material
773,59,773,,,,,,ec_facet_id_has_no_terrain_material
777,64,777,,,,,,ec_facet_id_has_no_terrain_material
778,63,778,,,,,,ec_facet_id_has_no_terrain_material
779,63,779,,,,,,ec_facet_id_has_no_terrain_material
786,63,786,,,,,,ec_facet_id_has_no_terrain_material
821,7,821,,,,,,ec_facet_id_has_no_terrain_material
822,7,822,,,,,,ec_facet_id_has_no_terrain_material
823,7,823,,,,,,ec_facet_id_has_no_terrain_material
824,7,824,,,,,,ec_facet_id_has_no_terrain_material
825,7,825,,,,,,ec_facet_id_has_no_terrain_material
826,7,826,,,,,,ec_facet_id_has_no_terrain_material
827,7,827,,,,,,ec_facet_id_has_no_terrain_material
828,7,828,,,,,,ec_facet_id_has_no_terrain_material
829,2,829,,,,,,ec_facet_id_has_no_terrain_material
830,2,830,,,,,,ec_facet_id_has_no_terrain_material
831,2,831,,,,,,ec_facet_id_has_no_terrain_material
832,2,832,,,,,,ec_facet_id_has_no_terrain_material
834,7,834,,,,,,ec_facet_id_has_no_terrain_material
835,7,835,,,,,,ec_facet_id_has_no_terrain_material
836,7,836,,,,,,ec_facet_id_has_no_terrain_material
837,2,837,,,,,,ec_facet_id_has_no_terrain_material
838,2,838,,,,,,ec_facet_id_has_no_terrain_material
839,2,839,,,,,,ec_facet_id_has_no_terrain_material
840,2,840,,,,,,ec_facet_id_has_no_terrain_material
841,2,841,,,,,,ec_facet_id_has_no_terrain_material
843,2,843,,,,,,ec_facet_id_has_no_terrain_material
844,2,844,,,,,,ec_facet_id_has_no_terrain_material
845,7,845,,,,,,ec_facet_id_has_no_terrain_material
847,,847,,,,,,ec_facet_id_has_no_terrain_material
848,7,848,,,,,,ec_facet_id_has_no_terrain_material
849,7,849,,,,,,ec_facet_id_has_no_terrain_material
850,7,850,,,,,,ec_facet_id_has_no_terrain_material
851,7,851,,,,,,ec_facet_id_has_no_terrain_material
852,7,852,,,,,,ec_facet_id_has_no_terrain_material
854,2,854,,,,,,ec_facet_id_has_no_terrain_material
855,2,855,,,,,,ec_facet_id_has_no_terrain_material
856,2,856,,,,,,ec_facet_id_has_no_terrain_material
857,7,857,,,,,,ec_facet_id_has_no_terrain_material
858,7,858,,,,,,ec_facet_id_has_no_terrain_material
859,7,859,,,,,,ec_facet_id_has_no_terrain_material
860,7,860,,,,,,ec_facet_id_has_no_terrain_material
871,2,871,,,,,,ec_facet_id_has_no_terrain_material
872,2,872,,,,,,ec_facet_id_has_no_terrain_material
873,2,873,,,,,,ec_facet_id_has_no_terrain_material
874,2,874,,,,,,ec_facet_id_has_no_terrain_material
875,2,875,,,,,,ec_facet_id_has_no_terrain_material
876,2,876,,,,,,ec_facet_id_has_no_terrain_material
877,2,877,,,,,,ec_facet_id_has_no_terrain_material
878,2,878,,,,,,ec_facet_id_has_no_terrain_material
879,1,879,,,,,,ec_facet_id_has_no_terrain_material
880,1,880,,,,,,ec_facet_id_has_no_terrain_material
881,1,881,,,,,,ec_facet_id_has_no_terrain_material
882,1,882,,,,,,ec_facet_id_has_no_terrain_material
883,1,883,,,,,,ec_facet_id_has_no_terrain_material
884,1,884,,,,,,ec_facet_id_has_no_terrain_material
885,1,885,,,,,,ec_facet_id_has_no_terrain_material
886,1,886,,,,,,ec_facet_id_has_no_terrain_material
887,2,887,,,,,,ec_facet_id_has_no_terrain_material
888,2,888,,,,,,ec_facet_id_has_no_terrain_material
889,2,889,,,,,,ec_facet_id_has_no_terrain_material
890,2,890,,,,,,ec_facet_id_has_no_terrain_material
891,1,891,,,,,,ec_facet_id_has_no_terrain_material
892,1,892,,,,,,ec_facet_id_has_no_terrain_material
893,1,893,,,,,,ec_facet_id_has_no_terrain_material
894,1,894,,,,,,ec_facet_id_has_no_terrain_material
901,8,901,,,,,,ec_facet_id_has_no_terrain_material
902,8,902,,,,,,ec_facet_id_has_no_terrain_material
903,8,903,,,,,,ec_facet_id_has_no_terrain_material
904,8,904,,,,,,ec_facet_id_has_no_terrain_material
905,8,905,,,,,,ec_facet_id_has_no_terrain_material
906,8,906,,,,,,ec_facet_id_has_no_terrain_material
907,8,907,,,,,,ec_facet_id_has_no_terrain_material
908,8,908,,,,,,ec_facet_id_has_no_terrain_material
909,2,909,,,,,,ec_facet_id_has_no_terrain_material
910,2,910,,,,,,ec_facet_id_has_no_terrain_material
911,2,911,,,,,,ec_facet_id_has_no_terrain_material
912,2,912,,,,,,ec_facet_id_has_no_terrain_material
913,8,913,,,,,,ec_facet_id_has_no_terrain_material
914,8,914,,,,,,ec_facet_id_has_no_terrain_material
916,8,916,,,,,,ec_facet_id_has_no_terrain_material
918,2,918,,,,,,ec_facet_id_has_no_terrain_material
919,2,919,,,,,,ec_facet_id_has_no_terrain_material
920,2,920,,,,,,ec_facet_id_has_no_terrain_material
921,2,921,,,,,,ec_facet_id_has_no_terrain_material
922,2,922,,,,,,ec_facet_id_has_no_terrain_material
923,2,923,,,,,,ec_facet_id_has_no_terrain_material
924,2,924,,,,,,ec_facet_id_has_no_terrain_material
929,8,929,,,,,,ec_facet_id_has_no_terrain_material
930,8,930,,,,,,ec_facet_id_has_no_terrain_material
931,8,931,,,,,,ec_facet_id_has_no_terrain_material
933,2,933,,,,,,ec_facet_id_has_no_terrain_material
934,2,934,,,,,,ec_facet_id_has_no_terrain_material
935,2,935,,,,,,ec_facet_id_has_no_terrain_material
936,2,936,,,,,,ec_facet_id_has_no_terrain_material
937,8,937,,,,,,ec_facet_id_has_no_terrain_material
938,8,938,,,,,,ec_facet_id_has_no_terrain_material
939,8,939,,,,,,ec_facet_id_has_no_terrain_material
940,8,940,,,,,,ec_facet_id_has_no_terrain_material
953,7,953,,,,,,ec_facet_id_has_no_terrain_material
955,7,955,,,,,,ec_facet_id_has_no_terrain_material
956,7,956,,,,,,ec_facet_id_has_no_terrain_material
957,7,957,,,,,,ec_facet_id_has_no_terrain_material
958,7,958,,,,,,ec_facet_id_has_no_terrain_material
960,1,960,,,,,,ec_facet_id_has_no_terrain_material
961,1,961,,,,,,ec_facet_id_has_no_terrain_material
963,1,963,,,,,,ec_facet_id_has_no_terrain_material
964,1,964,,,,,,ec_facet_id_has_no_terrain_material
965,1,965,,,,,,ec_facet_id_has_no_terrain_material
966,1,966,,,,,,ec_facet_id_has_no_terrain_material
967,7,967,,,,,,ec_facet_id_has_no_terrain_material
968,7,968,,,,,,ec_facet_id_has_no_terrain_material
969,7,969,,,,,,ec_facet_id_has_no_terrain_material
970,7,970,,,,,,ec_facet_id_has_no_terrain_material
971,1,971,,,,,,ec_facet_id_has_no_terrain_material
972,1,972,,,,,,ec_facet_id_has_no_terrain_material
973,1,973,,,,,,ec_facet_id_has_no_terrain_material
974,1,974,,,,,,ec_facet_id_has_no_terrain_material
1001,9,1001,9,true,2000090,2000090|2000091|1000004,8.000000|8.000000|48.000000,
1002,9,1002,,,,,,ec_facet_id_has_no_terrain_material
1003,9,1003,,,,,,ec_facet_id_has_no_terrain_material
1004,9,1004,,,,,,ec_facet_id_has_no_terrain_material
1006,0,1006,,,,,,ec_facet_id_has_no_terrain_material
1007,0,1007,,,,,,ec_facet_id_has_no_terrain_material
1008,0,1008,,,,,,ec_facet_id_has_no_terrain_material
1010,0,1010,,,,,,ec_facet_id_has_no_terrain_material
1011,0,1011,,,,,,ec_facet_id_has_no_terrain_material
1012,0,1012,,,,,,ec_facet_id_has_no_terrain_material
1014,2,1014,,,,,,ec_facet_id_has_no_terrain_material
1015,2,1015,,,,,,ec_facet_id_has_no_terrain_material
1016,2,1016,,,,,,ec_facet_id_has_no_terrain_material
1017,2,1017,,,,,,ec_facet_id_has_no_terrain_material
1018,2,1018,,,,,,ec_facet_id_has_no_terrain_material
1019,2,1019,,,,,,ec_facet_id_has_no_terrain_material
1020,2,1020,,,,,,ec_facet_id_has_no_terrain_material
1021,2,1021,,,,,,ec_facet_id_has_no_terrain_material
1022,2,1022,,,,,,ec_facet_id_has_no_terrain_material
1023,2,1023,,,,,,ec_facet_id_has_no_terrain_material
1024,2,1024,,,,,,ec_facet_id_has_no_terrain_material
1025,2,1025,,,,,,ec_facet_id_has_no_terrain_material
1026,2,1026,,,,,,ec_facet_id_has_no_terrain_material
1027,2,1027,,,,,,ec_facet_id_has_no_terrain_material
1028,2,1028,,,,,,ec_facet_id_has_no_terrain_material
1029,2,1029,,,,,,ec_facet_id_has_no_terrain_material
1030,11,1030,11,true,2000110,2000110|2000111|1000003,4.000000|4.000000|16.000000,
1031,11,1031,,,,,,ec_facet_id_has_no_terrain_material
1032,11,1032,,,,,,ec_facet_id_has_no_terrain_material
1033,11,1033,,,,,,ec_facet_id_has_no_terrain_material
1034,12,1034,12,true,2000120,2000120|2000121|1000003,4.000000|4.000000|16.000000,
1035,12,1035,,,,,,ec_facet_id_has_no_terrain_material
1036,12,1036,,,,,,ec_facet_id_has_no_terrain_material
1037,12,1037,,,,,,ec_facet_id_has_no_terrain_material
1038,22,1038,22,true,2000230,2000230|2000231|1000003,4.000000|4.000000|16.000000,
1039,22,1039,,,,,,ec_facet_id_has_no_terrain_material
1040,22,1040,,,,,,ec_facet_id_has_no_terrain_material
1041,22,1041,,,,,,ec_facet_id_has_no_terrain_material
1042,23,1042,23,true,2000220,2000220|2000221|1000003,4.000000|4.000000|16.000000,
1043,23,1043,,,,,,ec_facet_id_has_no_terrain_material
1044,23,1044,,,,,,ec_facet_id_has_no_terrain_material
1045,23,1045,,,,,,ec_facet_id_has_no_terrain_material
1046,94,1046,,,,,,ec_facet_id_has_no_terrain_material
1047,95,1047,,,,,,ec_facet_id_has_no_terrain_material
1048,96,1048,,,,,,ec_facet_id_has_no_terrain_material
1049,97,1049,,,,,,ec_facet_id_has_no_terrain_material
1050,93,1050,,,,,,ec_facet_id_has_no_terrain_material
1051,90,,,,,,,
1052,91,1052,,,,,,ec_facet_id_has_no_terrain_material
1053,92,,,,,,,
1054,89,1054,89,true,2000880,2000880|2000881|1000003|1266,4.000000|4.000000|16.000000|1.000000,
1055,73,1055,,,,,,ec_facet_id_has_no_terrain_material
1056,78,1056,,,,,,ec_facet_id_has_no_terrain_material
1057,79,1057,,,,,,ec_facet_id_has_no_terrain_material
1058,80,1058,,,,,,ec_facet_id_has_no_terrain_material
1059,81,1059,,,,,,ec_facet_id_has_no_terrain_material
1060,75,1060,,,,,,ec_facet_id_has_no_terrain_material
1061,76,1061,,,,,,ec_facet_id_has_no_terrain_material
1062,77,1062,,,,,,ec_facet_id_has_no_terrain_material
1063,74,1063,,,,,,ec_facet_id_has_no_terrain_material
1064,88,1064,88,true,2000880,2000880|2000881|1000003,4.000000|4.000000|16.000000,
1065,98,,,,,,,
1066,99,,,,,,,
1067,100,,,,,,,
1068,101,,,,,,,
1069,102,,,,,,,
1070,103,,,,,,,
1071,72,1071,73,false,2000720,2000720|2000721|1000003|1267,4.000000|4.000000|16.000000|1.000000,different_material_route
1072,82,,,,,,,
1073,83,,,,,,,
1074,84,,,,,,,
1075,85,,,,,,,
1076,86,,,,,,,
1077,87,,,,,,,
1078,25,1078,25,true,2000250,2000250|2000251|1000003,4.000000|4.000000|16.000000,
1079,25,1079,,,,,,ec_facet_id_has_no_terrain_material
1080,25,1080,,,,,,ec_facet_id_has_no_terrain_material
1081,25,1081,,,,,,ec_facet_id_has_no_terrain_material
1082,26,1082,26,true,2000260,2000260|2000261|1000003,4.000000|4.000000|16.000000,
1083,26,1083,,,,,,ec_facet_id_has_no_terrain_material
1084,26,1084,,,,,,ec_facet_id_has_no_terrain_material
1085,26,1085,,,,,,ec_facet_id_has_no_terrain_material
1086,27,1086,27,true,2000270,2000270|2000271|1000003,4.000000|4.000000|16.000000,
1087,27,1087,,,,,,ec_facet_id_has_no_terrain_material
1088,27,1088,,,,,,ec_facet_id_has_no_terrain_material
1089,27,1089,,,,,,ec_facet_id_has_no_terrain_material
1090,28,1090,28,true,2000280,2000280|2000281|1000003,4.000000|4.000000|16.000000,
1091,28,1091,,,,,,ec_facet_id_has_no_terrain_material
1092,29,1092,29,true,2000290,2000290|2000291|1000003,4.000000|4.000000|16.000000,
1093,29,1093,,,,,,ec_facet_id_has_no_terrain_material
1094,30,1094,2030,false,2000300,2000300|2000301|1000003,4.000000|4.000000|16.000000,different_material_route
